"","V1","V2"
"502",142.31875,-23.40125
"503",142.31875,-24.60125
"504",141.71875,-32.40125
"505",141.71875,-28.80125
"506",141.71875,-28.20125
"507",141.71875,-30.00125
"508",142.31875,-28.20125
"509",142.31875,-22.80125
"510",142.31875,-16.20125
"511",142.31875,-16.80125
"512",142.31875,-18.60125
"513",142.31875,-19.80125
"514",142.31875,-22.20125
"515",142.31875,-12.00125
"516",142.31875,-14.40125
"517",142.31875,-25.20125
"518",142.31875,-13.80125
"519",142.31875,-21.00125
"520",142.31875,-19.20125
"521",142.31875,-17.40125
"522",142.31875,-18.00125
"523",142.31875,-12.60125
"524",142.31875,-20.40125
"525",142.31875,-21.60125
"526",142.31875,-11.40125
"527",142.31875,-12.60125
"528",142.31875,-15.60125
"529",142.31875,-15.00125
"530",142.31875,-12.00125
"531",142.31875,-11.40125
"532",142.31875,-13.20125
"533",141.11875,-37.80125
"534",141.11875,-37.20125
"535",141.11875,-36.00125
"536",141.11875,-36.60125
"537",141.11875,-35.40125
"538",141.71875,-26.40125
"539",141.71875,-25.20125
"540",141.71875,-23.40125
"541",141.71875,-22.80125
"542",141.71875,-19.20125
"543",141.71875,-18.00125
"544",141.71875,-27.00125
"545",141.71875,-27.60125
"546",141.71875,-25.80125
"547",141.71875,-24.60125
"548",141.71875,-18.60125
"549",141.71875,-22.20125
"550",141.71875,-24.00125
"551",141.71875,-21.00125
"552",141.71875,-21.60125
"553",141.71875,-16.20125
"554",141.71875,-17.40125
"555",141.71875,-20.40125
"556",141.11875,-34.80125
"557",141.71875,-19.80125
"558",141.11875,-33.60125
"559",141.71875,-16.80125
"560",141.11875,-34.20125
"561",141.11875,-32.40125
"562",141.11875,-33.00125
"563",141.71875,-15.60125
"564",141.71875,-13.80125
"565",141.71875,-14.40125
"566",140.51875,-37.80125
"567",141.71875,-15.00125
"568",141.11875,-31.80125
"569",141.11875,-30.60125
"570",141.11875,-30.00125
"571",140.51875,-37.20125
"572",141.11875,-29.40125
"573",141.11875,-31.20125
"574",141.71875,-13.20125
"575",141.11875,-28.80125
"576",140.51875,-36.60125
"577",141.11875,-27.00125
"578",141.11875,-25.80125
"579",141.11875,-24.60125
"580",140.51875,-35.40125
"581",140.51875,-36.00125
"582",141.11875,-28.20125
"583",141.11875,-26.40125
"584",141.11875,-27.60125
"585",141.11875,-25.20125
"586",140.51875,-34.80125
"587",140.51875,-34.20125
"588",141.11875,-24.00125
"589",141.11875,-23.40125
"590",140.51875,-33.60125
"591",140.51875,-32.40125
"592",140.51875,-33.00125
"593",141.11875,-19.20125
"594",141.11875,-21.60125
"595",141.11875,-19.80125
"596",140.51875,-31.80125
"597",140.51875,-30.00125
"598",140.51875,-31.20125
"599",140.51875,-30.60125
"600",141.11875,-21.00125
"601",140.51875,-29.40125
"602",141.11875,-18.60125
"603",141.11875,-22.20125
"604",140.51875,-28.80125
"605",140.51875,-26.40125
"606",140.51875,-27.00125
"607",140.51875,-28.20125
"608",140.51875,-27.60125
"609",140.51875,-25.20125
"610",140.51875,-24.00125
"611",140.51875,-22.80125
"612",140.51875,-25.80125
"613",140.51875,-24.60125
"614",140.51875,-21.60125
"615",140.51875,-23.40125
"616",140.51875,-21.00125
"617",140.51875,-20.40125
"618",140.51875,-22.20125
"619",139.91875,-37.20125
"620",139.91875,-36.60125
"621",139.91875,-36.00125
"622",139.91875,-35.40125
"623",139.91875,-34.80125
"624",139.91875,-33.60125
"625",139.91875,-33.00125
"626",139.91875,-34.20125
"627",139.91875,-31.20125
"628",139.91875,-32.40125
"629",139.91875,-30.00125
"630",139.91875,-28.80125
"631",139.91875,-31.80125
"632",139.91875,-28.20125
"633",140.51875,-18.60125
"634",140.51875,-19.20125
"635",139.91875,-29.40125
"636",139.91875,-27.60125
"637",140.51875,-19.80125
"638",140.51875,-18.00125
"639",141.11875,-18.00125
"640",141.11875,-20.40125
"641",141.11875,-22.80125
"642",141.11875,-17.40125
"643",139.31875,-35.40125
"644",139.31875,-34.80125
"645",139.91875,-25.80125
"646",139.31875,-33.60125
"647",139.91875,-24.00125
"648",139.91875,-23.40125
"649",139.91875,-22.80125
"650",139.91875,-27.00125
"651",139.31875,-34.20125
"652",139.31875,-32.40125
"653",139.91875,-26.40125
"654",139.91875,-21.60125
"655",139.91875,-22.20125
"656",139.31875,-33.00125
"657",139.31875,-31.80125
"658",139.91875,-25.20125
"659",139.31875,-31.20125
"660",139.91875,-24.60125
"661",139.31875,-30.00125
"662",139.31875,-28.80125
"663",139.31875,-30.60125
"664",139.31875,-29.40125
"665",139.31875,-27.60125
"666",139.31875,-28.20125
