"","lizards[k]","Tpred","ObsTb","Posture","Tc_init","Qsol","Zen","vel","Tair","Tsurf","PctCanopy","PctCloud","PctShade","RelHum"
"91","M10_opmodel",38.1419486261081,36.3,"n",36.4,886,19.92704391,1.250001,36.4,35.03337142,85.16,50,70,5
"92","M10_opmodel",37.588038615601,36.3,"p",36.4,886,19.92704391,1.250001,36.4,35.03337142,85.16,50,70,5
"93","M10_opmodel",39.5747484785178,39.8,"n",39.7,850,30.43666267,1.5555568,39.7,38.397747,85.16,40,100,3
"94","M10_opmodel",39.5747484785178,39.8,"p",39.7,850,30.43666267,1.5555568,39.7,38.397747,85.16,40,100,3
"95","M10_opmodel",39.5747484785178,39.7,"n",39.7,850,30.43666267,1.5555568,39.7,38.397747,85.16,40,100,3
"96","M10_opmodel",39.5747484785178,39.7,"p",39.7,850,30.43666267,1.5555568,39.7,38.397747,85.16,40,100,3
"97","M10_opmodel",28.0232536719454,27.8,"n",24.6,843,14.36671638,2.083335,24.6,29.83415718,69.79,1,25,17
"98","M10_opmodel",27.0017079020857,27.8,"p",24.6,843,14.36671638,2.083335,24.6,29.83415718,69.79,1,25,17
"99","M10_opmodel",28.0232536719454,25.6,"n",24.6,843,14.36671638,2.083335,24.6,29.83415718,69.79,1,25,17
"100","M10_opmodel",27.0017079020857,25.6,"p",24.6,843,14.36671638,2.083335,24.6,29.83415718,69.79,1,25,17
"101","M10_opmodel",31.0307019170903,27.4,"n",31.4,651,66.8032608,3.4166694,31.4,25.28817081,94.97,50,100,16
"102","M10_opmodel",31.0307019170903,27.4,"p",31.4,651,66.8032608,3.4166694,31.4,25.28817081,94.97,50,100,16
"103","M10_opmodel",31.0307019170903,28.8,"n",31.4,651,66.8032608,3.4166694,31.4,25.28817081,94.97,50,100,16
"104","M10_opmodel",31.0307019170903,28.8,"p",31.4,651,66.8032608,3.4166694,31.4,25.28817081,94.97,50,100,16
"105","M10_opmodel",27.0493505366171,27.5,"n",27.2,420,78.6553421,1.8333348,27.2,25.3104867,94.97,0,100,11
"106","M10_opmodel",27.0493505366171,27.5,"p",27.2,420,78.6553421,1.8333348,27.2,25.3104867,94.97,0,100,11
"107","M10_opmodel",27.0493505366171,27.5,"n",27.2,420,78.6553421,1.8333348,27.2,25.3104867,94.97,0,100,11
"108","M10_opmodel",27.0493505366171,27.5,"p",27.2,420,78.6553421,1.8333348,27.2,25.3104867,94.97,0,100,11
"109","M10_opmodel",31.844700900659,33.1,"n",30.8,519,29.59448433,1.8888904,30.8,28.66023897,83.84,0,50,18
"110","M10_opmodel",31.3573562043591,33.1,"p",30.8,519,29.59448433,1.8888904,30.8,28.66023897,83.84,0,50,18
"111","M10_opmodel",31.844700900659,31.9,"n",30.8,519,29.59448433,1.8888904,30.8,28.66023897,83.84,0,50,18
"112","M10_opmodel",31.3573562043591,31.9,"p",30.8,519,29.59448433,1.8888904,30.8,28.66023897,83.84,0,50,18
"113","M11_opmodel",28.3898781265883,32.9,"n",25.4,748,39.19643021,5.5833378,25.4,30.44186176,0,50,10,24
"114","M11_opmodel",27.5711397817214,32.9,"p",25.4,748,39.19643021,5.5833378,25.4,30.44186176,0,50,10,24
"115","M11_opmodel",28.3898781265883,34,"n",25.4,748,39.19643021,5.5833378,25.4,30.44186176,0,50,10,24
"116","M11_opmodel",27.5711397817214,34,"p",25.4,748,39.19643021,5.5833378,25.4,30.44186176,0,50,10,24
"117","M11_opmodel",24.3060516030112,30.3,"n",24.3,278,73.7667923,2.638891,24.3,24.39279617,97.09,0,100,21
"118","M11_opmodel",24.3060516030112,30.3,"p",24.3,278,73.7667923,2.638891,24.3,24.39279617,97.09,0,100,21
"119","M11_opmodel",24.3060516030112,39.3,"n",24.3,278,73.7667923,2.638891,24.3,24.39279617,97.09,0,100,21
"120","M11_opmodel",24.3060516030112,39.3,"p",24.3,278,73.7667923,2.638891,24.3,24.39279617,97.09,0,100,21
"121","M11_opmodel",24.5301127216833,34.9,"n",23,686,25.85525322,2.083335,23,39.10187896,91.26,0,90,21
"122","M11_opmodel",24.4117846427833,34.9,"p",23,686,25.85525322,2.083335,23,39.10187896,91.26,0,90,21
"123","M11_opmodel",24.5301127216833,29.9,"n",23,686,25.85525322,2.083335,23,39.10187896,91.26,0,90,21
"124","M11_opmodel",24.4117846427833,29.9,"p",23,686,25.85525322,2.083335,23,39.10187896,91.26,0,90,21
"125","M11_opmodel",23.8410866631709,31.2,"n",22,760,25.1148777,7.6666728,22,31.7621191,0,10,30,33
"126","M11_opmodel",23.3743246161336,31.2,"p",22,760,25.1148777,7.6666728,22,31.7621191,0,10,30,33
"127","M11_opmodel",23.8410866631709,33.1,"n",22,760,25.1148777,7.6666728,22,31.7621191,0,10,30,33
"128","M11_opmodel",23.3743246161336,33.1,"p",22,760,25.1148777,7.6666728,22,31.7621191,0,10,30,33
"129","M11_opmodel",58.5537110693186,52.9,"n",42,789,47.76852798,0.0833334,42,55.03424818,92.05,0,0,4
"130","M11_opmodel",52.9216967190637,52.9,"p",42,789,47.76852798,0.0833334,42,55.03424818,92.05,0,0,4
"131","M11_opmodel",58.5537110693186,53.8,"n",42,789,47.76852798,0.0833334,42,55.03424818,92.05,0,0,4
"132","M11_opmodel",52.9216967190637,53.8,"p",42,789,47.76852798,0.0833334,42,55.03424818,92.05,0,0,4
"133","M11_opmodel",21.2604390904381,22,"n",21,133,47.32826614,6.4444496,21,21.24538408,96.82,100,60,39
"134","M11_opmodel",21.1919678156268,22,"p",21,133,47.32826614,6.4444496,21,21.24538408,96.82,100,60,39
"135","M11_opmodel",21.2604390904381,22.1,"n",21,133,47.32826614,6.4444496,21,21.24538408,96.82,100,60,39
"136","M11_opmodel",21.1919678156268,22.1,"p",21,133,47.32826614,6.4444496,21,21.24538408,96.82,100,60,39
"137","M11_opmodel",30.0258074657955,29.5,"n",30,457,46.89958954,5.6111156,30,30.55179982,89.93,90,100,25
"138","M11_opmodel",30.0258074657955,29.5,"p",30,457,46.89958954,5.6111156,30,30.55179982,89.93,90,100,25
"139","M11_opmodel",30.0258074657955,31.8,"n",30,457,46.89958954,5.6111156,30,30.55179982,89.93,90,100,25
"140","M11_opmodel",30.0258074657955,31.8,"p",30,457,46.89958954,5.6111156,30,30.55179982,89.93,90,100,25
"141","M11_opmodel",20.6019827395907,23.5,"n",20.8,47,83.31175232,1.5555568,20.8,18.36050515,89.93,40,100,25
"142","M11_opmodel",20.6019827395907,23.5,"p",20.8,47,83.31175232,1.5555568,20.8,18.36050515,89.93,40,100,25
"143","M11_opmodel",20.6019827395907,23.7,"n",20.8,47,83.31175232,1.5555568,20.8,18.36050515,89.93,40,100,25
"144","M11_opmodel",20.6019827395907,23.7,"p",20.8,47,83.31175232,1.5555568,20.8,18.36050515,89.93,40,100,25
"145","M11_opmodel",30.1175557515218,35.6,"n",29.7,692,25.21426773,7.7222284,29.7,30.75569554,0,20,80,18
"146","M11_opmodel",29.9964393208723,35.6,"p",29.7,692,25.21426773,7.7222284,29.7,30.75569554,0,20,80,18
"147","M11_opmodel",30.1175557515218,37.7,"n",29.7,692,25.21426773,7.7222284,29.7,30.75569554,0,20,80,18
"148","M11_opmodel",29.9964393208723,37.7,"p",29.7,692,25.21426773,7.7222284,29.7,30.75569554,0,20,80,18
"149","M11_opmodel",28.1805630965605,28.2,"n",27.4,549,34.03798294,2.1666684,27.4,35.51136826,67.94,30,95,50
"150","M11_opmodel",28.1301607209685,28.2,"p",27.4,549,34.03798294,2.1666684,27.4,35.51136826,67.94,30,95,50
"151","M11_opmodel",28.1805630965605,28.3,"n",27.4,549,34.03798294,2.1666684,27.4,35.51136826,67.94,30,95,50
"152","M11_opmodel",28.1301607209685,28.3,"p",27.4,549,34.03798294,2.1666684,27.4,35.51136826,67.94,30,95,50
"153","M11_opmodel",34.2461399565976,38.5,"n",34.2,794,45.12518692,0.0555556,34.2,34.36800467,93.64,1,100,5
"154","M11_opmodel",34.2461399565976,38.5,"p",34.2,794,45.12518692,0.0555556,34.2,34.36800467,93.64,1,100,5
"155","M11_opmodel",34.2461399565976,38.5,"n",34.2,794,45.12518692,0.0555556,34.2,34.36800467,93.64,1,100,5
"156","M11_opmodel",34.2461399565976,38.5,"p",34.2,794,45.12518692,0.0555556,34.2,34.36800467,93.64,1,100,5
"157","M11_opmodel",27.7671378622262,28.3,"n",28.1,847,32.97573471,1.3055566,28.1,24.55426792,93.64,0,100,10
"158","M11_opmodel",27.7671378622262,28.3,"p",28.1,847,32.97573471,1.3055566,28.1,24.55426792,93.64,0,100,10
"159","M11_opmodel",27.7671378622262,28.7,"n",28.1,847,32.97573471,1.3055566,28.1,24.55426792,93.64,0,100,10
"160","M11_opmodel",27.7671378622262,28.7,"p",28.1,847,32.97573471,1.3055566,28.1,24.55426792,93.64,0,100,10
"161","M11_opmodel",34.8552293997718,37.1,"n",32.6,802,32.58011627,0,32.6,37.74460449,79.6,0,95,5
"162","M11_opmodel",34.5755040800879,37.1,"p",32.6,802,32.58011627,0,32.6,37.74460449,79.6,0,95,5
"163","M11_opmodel",34.8552293997718,36.5,"n",32.6,802,32.58011627,0,32.6,37.74460449,79.6,0,95,5
"164","M11_opmodel",34.5755040800879,36.5,"p",32.6,802,32.58011627,0,32.6,37.74460449,79.6,0,95,5
"165","M11_opmodel",20.0417913007069,19.5,"n",19,146,43.93421173,1.1666676,19,17.59151943,93.91,100,25,52
"166","M11_opmodel",19.7283072429234,19.5,"p",19,146,43.93421173,1.1666676,19,17.59151943,93.91,100,25,52
"167","M11_opmodel",20.0417913007069,19.3,"n",19,146,43.93421173,1.1666676,19,17.59151943,93.91,100,25,52
"168","M11_opmodel",19.7283072429234,19.3,"p",19,146,43.93421173,1.1666676,19,17.59151943,93.91,100,25,52
"169","M11_opmodel",32.4268048054752,29.9,"n",32.7,861,21.79628754,7.1111168,32.7,26.14110337,0,5,100,11
"170","M11_opmodel",32.4268048054752,29.9,"p",32.7,861,21.79628754,7.1111168,32.7,26.14110337,0,5,100,11
"171","M11_opmodel",32.4268048054752,30,"n",32.7,861,21.79628754,7.1111168,32.7,26.14110337,0,5,100,11
"172","M11_opmodel",32.4268048054752,30,"p",32.7,861,21.79628754,7.1111168,32.7,26.14110337,0,5,100,11
"173","M11_opmodel",21.1698280973514,20.8,"n",20.4,652,16.33805084,10.1111192,20.4,17.90466212,94.97,60,50,28
